YEAR;MUN;INTENSITY_USE_DWELLINGS;CONCEPT;status;value
2021;080018;EMPT_DW_EL_C_MIN;DWELL;;257
2021;080018;LWU_DW_EL_C_UND_250;DWELL;;74
2021;080018;OCCU_DW_EL_C_250_750;DWELL;;280
2021;080018;REGU_DW_EL_C_MORE_750;DWELL;;4655
2021;080018;TOTAL;DWELL;;5266
2021;250030;EMPT_DW_EL_C_MIN;DWELL;;317
2021;250030;LWU_DW_EL_C_UND_250;DWELL;;89
2021;250030;OCCU_DW_EL_C_250_750;DWELL;;203
2021;250030;REGU_DW_EL_C_MORE_750;DWELL;;2136
2021;250030;TOTAL;DWELL;;2745
2021;080142;EMPT_DW_EL_C_MIN;DWELL;;72
2021;080142;LWU_DW_EL_C_UND_250;DWELL;;26
2021;080142;OCCU_DW_EL_C_250_750;DWELL;;109
2021;080142;REGU_DW_EL_C_MORE_750;DWELL;;1091
2021;080142;TOTAL;DWELL;;1298
2021;250387;EMPT_DW_EL_C_MIN;DWELL;;298
2021;250387;LWU_DW_EL_C_UND_250;DWELL;;14
2021;250387;OCCU_DW_EL_C_250_750;DWELL;;62
2021;250387;REGU_DW_EL_C_MORE_750;DWELL;;844
2021;250387;TOTAL;DWELL;;1218
2021;250077;EMPT_DW_EL_C_MIN;DWELL;;127
2021;250077;LWU_DW_EL_C_UND_250;DWELL;;19
2021;250077;OCCU_DW_EL_C_250_750;DWELL;;59
2021;250077;REGU_DW_EL_C_MORE_750;DWELL;;704
2021;250077;TOTAL;DWELL;;909
2021;250083;EMPT_DW_EL_C_MIN;DWELL;;166
2021;250083;LWU_DW_EL_C_UND_250;DWELL;;20
2021;250083;OCCU_DW_EL_C_250_750;DWELL;;43
2021;250083;REGU_DW_EL_C_MORE_750;DWELL;;548
2021;250083;TOTAL;DWELL;;777
2021;430022;EMPT_DW_EL_C_MIN;DWELL;;284
2021;430022;LWU_DW_EL_C_UND_250;DWELL;;56
2021;430022;OCCU_DW_EL_C_250_750;DWELL;;160
2021;430022;REGU_DW_EL_C_MORE_750;DWELL;;1086
2021;430022;TOTAL;DWELL;;1586
2021;430043;EMPT_DW_EL_C_MIN;DWELL;;1228
2021;430043;LWU_DW_EL_C_UND_250;DWELL;;602
2021;430043;OCCU_DW_EL_C_250_750;DWELL;;1420
2021;430043;REGU_DW_EL_C_MORE_750;DWELL;;5339
2021;430043;TOTAL;DWELL;;8589
2021;250117;EMPT_DW_EL_C_MIN;DWELL;;471
2021;250117;LWU_DW_EL_C_UND_250;DWELL;;85
2021;250117;OCCU_DW_EL_C_250_750;DWELL;;346
2021;250117;REGU_DW_EL_C_MORE_750;DWELL;;3888
2021;250117;TOTAL;DWELL;;4790
2021;250122;EMPT_DW_EL_C_MIN;DWELL;;194
2021;250122;LWU_DW_EL_C_UND_250;DWELL;;34
2021;250122;OCCU_DW_EL_C_250_750;DWELL;;112
2021;250122;REGU_DW_EL_C_MORE_750;DWELL;;1331
2021;250122;TOTAL;DWELL;;1671
2021;430056;EMPT_DW_EL_C_MIN;DWELL;;259
2021;430056;LWU_DW_EL_C_UND_250;DWELL;;78
2021;430056;OCCU_DW_EL_C_250_750;DWELL;;229
2021;430056;REGU_DW_EL_C_MORE_750;DWELL;;2167
2021;430056;TOTAL;DWELL;;2733
2021;439044;EMPT_DW_EL_C_MIN;DWELL;;565
2021;439044;LWU_DW_EL_C_UND_250;DWELL;;73
2021;439044;OCCU_DW_EL_C_250_750;DWELL;;204
2021;439044;REGU_DW_EL_C_MORE_750;DWELL;;1718
2021;439044;TOTAL;DWELL;;2560
2021;080039;EMPT_DW_EL_C_MIN;DWELL;;239
2021;080039;LWU_DW_EL_C_UND_250;DWELL;;29
2021;080039;OCCU_DW_EL_C_250_750;DWELL;;180
2021;080039;REGU_DW_EL_C_MORE_750;DWELL;;3510
2021;080039;TOTAL;DWELL;;3958
