row;col;r;c;value;status;ref
"Abans de 1900";Principals;1;1;135666;;2011
"Abans de 1900";"No principals / secundaris";1;2;27225;;2011
"Abans de 1900";"No principals / buits";1;3;41968;;2011
"Abans de 1900";"No principals / total";1;4;69192;;2011
"Abans de 1900";Total;1;5;204859;;2011
"1900 a 1920";Principals;2;1;86301;;2011
"1900 a 1920";"No principals / secundaris";2;2;11100;;2011
"1900 a 1920";"No principals / buits";2;3;21688;;2011
"1900 a 1920";"No principals / total";2;4;32788;;2011
"1900 a 1920";Total;2;5;119089;;2011
"1921 a 1940";Principals;3;1;106355;;2011
"1921 a 1940";"No principals / secundaris";3;2;10363;;2011
"1921 a 1940";"No principals / buits";3;3;24553;;2011
"1921 a 1940";"No principals / total";3;4;34915;;2011
"1921 a 1940";Total;3;5;141271;;2011
"1941 a 1950";Principals;4;1;93174;;2011
"1941 a 1950";"No principals / secundaris";4;2;10332;;2011
"1941 a 1950";"No principals / buits";4;3;19628;;2011
"1941 a 1950";"No principals / total";4;4;29961;;2011
"1941 a 1950";Total;4;5;123135;;2011
"1951 a 1960";Principals;5;1;217185;;2011
"1951 a 1960";"No principals / secundaris";5;2;22264;;2011
"1951 a 1960";"No principals / buits";5;3;37205;;2011
"1951 a 1960";"No principals / total";5;4;59469;;2011
"1951 a 1960";Total;5;5;276654;;2011
"1961 a 1970";Principals;6;1;519782;;2011
"1961 a 1970";"No principals / secundaris";6;2;57325;;2011
"1961 a 1970";"No principals / buits";6;3;73166;;2011
"1961 a 1970";"No principals / total";6;4;130491;;2011
"1961 a 1970";Total;6;5;650273;;2011
"1971 a 1980";Principals;7;1;664713;;2011
"1971 a 1980";"No principals / secundaris";7;2;126299;;2011
"1971 a 1980";"No principals / buits";7;3;79614;;2011
"1971 a 1980";"No principals / total";7;4;205913;;2011
"1971 a 1980";Total;7;5;870626;;2011
"1981 a 1990";Principals;8;1;283966;;2011
"1981 a 1990";"No principals / secundaris";8;2;88113;;2011
"1981 a 1990";"No principals / buits";8;3;31337;;2011
"1981 a 1990";"No principals / total";8;4;119450;;2011
"1981 a 1990";Total;8;5;403417;;2011
"1991 a 2001";Principals;9;1;394537;;2011
"1991 a 2001";"No principals / secundaris";9;2;58387;;2011
"1991 a 2001";"No principals / buits";9;3;37472;;2011
"1991 a 2001";"No principals / total";9;4;95859;;2011
"1991 a 2001";Total;9;5;490396;;2011
"2002 a 2011";Principals;10;1;342764;;2011
"2002 a 2011";"No principals / secundaris";10;2;52721;;2011
"2002 a 2011";"No principals / buits";10;3;71324;;2011
"2002 a 2011";"No principals / total";10;4;124045;;2011
"2002 a 2011";Total;10;5;466809;;2011
"No hi consta";Principals;11;1;100500;;2011
"No hi consta";"No principals / secundaris";11;2;5951;;2011
"No hi consta";"No principals / buits";11;3;10402;;2011
"No hi consta";"No principals / total";11;4;16353;;2011
"No hi consta";Total;11;5;116853;;2011
Total;Principals;12;1;2944944;;2011
Total;"No principals / secundaris";12;2;470081;;2011
Total;"No principals / buits";12;3;448356;;2011
Total;"No principals / total";12;4;918437;;2011
Total;Total;12;5;3863381;;2011
